show_id,title,date_added,release_year,duration,description,tipo_id,rating_id
s47,Safe House,2021-09-16,2012,115,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,0,4
s49,Training Day,2021-09-16,2001,122,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,0,4
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2021-09-15,2002,99,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",0,1
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,2021-09-15,2003,99,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,0,1
s54,InuYasha the Movie 4: Fire on the Mystic Island,2021-09-15,2004,88,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",0,5
s55,InuYasha the Movie: Affections Touching Across Time,2021-09-15,2001,100,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",0,5
s57,Naruto Shippuden the Movie: Blood Prison,2021-09-15,2011,102,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",0,1
s58,Naruto Shippûden the Movie: Bonds,2021-09-15,2008,93,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",0,5
s59,Naruto Shippûden the Movie: The Will of Fire,2021-09-15,2009,96,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",0,5
s60,Naruto Shippuden: The Movie,2021-09-15,2007,95,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",0,5
s61,Naruto Shippuden: The Movie: The Lost Tower,2021-09-15,2010,85,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",0,1
s62,Naruto the Movie 2: Legend of the Stone of Gelel,2021-09-15,2005,97,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",0,5
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2021-09-15,2006,95,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",0,5
s64,Naruto the Movie: Ninja Clash in the Land of Snow,2021-09-15,2004,83,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",0,5
s74,King of Boys,2021-09-14,2018,182,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",0,0
s82,Kate,2021-09-10,2021,106,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",0,4
s85,Omo Ghetto: the Saga,2021-09-10,2020,147,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",0,0
s91,Paradise Hills,2021-09-09,2019,95,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.",0,0
s95,Show Dogs,2021-09-08,2018,90,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,0,3
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2021-09-07,2018,97,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",0,0
s106,Angamaly Diaries,2021-09-05,2017,128,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",0,1
s108,A Champion Heart,2021-09-04,2018,90,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",0,6
s115,Anjaam,2021-09-02,1994,143,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",0,1
s116,Bright Star,2021-09-02,2009,119,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.,0,3
s117,Dhanak,2021-09-02,2015,114,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,0,5
s119,Gurgaon,2021-09-02,2017,106,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.",0,1
s123,In the Cut,2021-09-02,2003,118,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",0,4
s127,Shikara,2021-09-02,2020,115,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,0,1
s128,A Cinderella Story,2021-09-01,2004,95,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,0,3
s130,An Unfinished Life,2021-09-01,2005,108,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",0,2
s132,Blade Runner: The Final Cut,2021-09-01,1982,117,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",0,4
s134,Chappie,2021-09-01,2015,121,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",0,4
s135,Clear and Present Danger,2021-09-01,1994,142,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",0,2
s136,Cliffhanger,2021-09-01,1993,113,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",0,4
s137,Cold Mountain,2021-09-01,2003,154,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.",0,4
s138,Crocodile Dundee in Los Angeles,2021-09-01,2001,95,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.",0,3
s139,Dear John,2021-09-01,2010,108,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.",0,2
s140,Do the Right Thing,2021-09-01,1989,120,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.",0,4
s141,"El patrón, radiografía de un crimen",2021-09-01,2014,100,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.,0,0
s142,Extraction,2021-09-01,2015,82,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",0,4
s143,Freedom Writers,2021-09-01,2007,124,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives.",0,2
s144,Green Lantern,2021-09-01,2011,114,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,0,2
s145,House Party,2021-09-01,1990,104,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.",0,4
s146,House Party 2,2021-09-01,1991,94,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.",0,4
s147,House Party 3,2021-09-01,1994,94,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications.",0,4
s150,I Got the Hook Up,2021-09-01,1998,93,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.",0,4
s151,In Too Deep,2021-09-01,1999,97,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",0,4
s152,Initial D,2021-09-01,2005,109,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel.",0,1
s153,Janoskians: Untold and Untrue,2021-09-01,2016,88,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.,0,0
s156,Labyrinth,2021-09-01,1986,101,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.",0,3
s157,Letters to Juliet,2021-09-01,2010,105,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.",0,3
s158,Level 16,2021-09-01,2018,102,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape.",0,1
s159,Love Don't Cost a Thing,2021-09-01,2003,101,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.,0,2
s160,Love in a Puff,2021-09-01,2010,103,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.",0,0
s162,Mars Attacks!,2021-09-01,1996,106,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace.",0,2
s163,Marshall,2021-09-01,2017,118,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",0,2
s164,My Boss's Daughter,2021-09-01,2003,86,"A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush.",0,4
s165,Mystery Men,2021-09-01,1999,121,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.,0,2
s167,Once Upon a Time in America,2021-09-01,1984,229,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,0,4
s168,Open Season 2,2021-09-01,2008,76,Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.,0,3
s169,Osmosis Jones,2021-09-01,2001,95,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.,0,3
s170,Poseidon,2021-09-01,2006,98,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.",0,2
s171,Rhyme & Reason,2021-09-01,1997,89,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts.",0,4
s172,Same Kind of Different as Me,2021-09-01,2017,120,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.,0,2
s173,School of Rock,2021-09-01,2003,110,"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll.",0,2
s174,Snervous Tyler Oakley,2021-09-01,2015,83,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour.",0,2
s175,Tears of the Sun,2021-09-01,2003,121,"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.",0,4
s176,The Blue Lagoon,2021-09-01,1980,105,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.",0,4
s177,The Golden Child,2021-09-01,1986,94,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.,0,2
s178,The Guns of Navarone,2021-09-01,1961,156,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.",0,1
s179,The Interview,2021-09-01,2014,112,Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.,0,4
s180,The Nutty Professor,2021-09-01,1996,95,"After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance.",0,2
s183,Welcome Home Roscoe Jenkins,2021-09-01,2008,114,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become.",0,2
s184,In the Line of Fire,2021-08-31,1993,129,A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.,0,4
s189,2 Alone in Paris,2021-08-28,2008,97,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.",0,0
s191,Thimmarusu,2021-08-28,2021,125,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit.",0,1
s192,Wind River,2021-08-28,2017,107,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.,0,4
s193,C Kkompany,2021-08-27,2008,127,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous.",0,1
s196,EMI: Liya Hai To Chukana Padega,2021-08-27,2008,128,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.,0,1
s199,King of Boys: The Return of the King,2021-08-27,2021,1,"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness.",1,0
s200,Koi Aap Sa,2021-08-27,2006,135,"Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her.",0,1
s201,Krishna Cottage,2021-08-27,2004,124,True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.,0,1
s202,Kucch To Hai,2021-08-27,2003,136,"A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge.",0,1
s203,Kyaa Kool Hai Hum,2021-08-27,2005,165,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck.",0,0
s204,Kyaa Kool Hain Hum 3,2021-08-27,2016,124,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father.",0,0
s205,Kyaa Super Kool Hain Hum,2021-08-27,2012,136,An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.,0,0
s206,Kyo Kii... Main Jhuth Nahin Bolta,2021-08-27,2001,150,The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.,0,1
s207,"LSD: Love, Sex Aur Dhokha",2021-08-27,2010,112,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.,0,0
s208,Mission Istaanbul: Darr Ke Aagey Jeet Hai,2021-08-27,2008,119,A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.,0,1
s209,Once Upon a Time in Mumbaai,2021-08-27,2010,133,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime.",0,1
s210,Once Upon a Time in Mumbai Dobaara!,2021-08-27,2013,142,"This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control.",0,1
s211,Ragini MMS,2021-08-27,2011,93,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.,0,0
s212,Ragini MMS 2,2021-08-27,2014,113,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.,0,0
s216,Shootout at Lokhandwala,2021-08-27,2007,116,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight.",0,0
s217,Shor In the City,2021-08-27,2011,106,"When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger.",0,1
s218,The Dirty Picture,2021-08-27,2011,145,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol.",0,1
s228,Really Love,2021-08-25,2020,95,A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.,0,0
s229,The November Man,2021-08-25,2014,108,"An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies.",0,4
s230,The Old Ways,2021-08-25,2020,90,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed.",0,0
s232,The Water Man,2021-08-25,2021,92,"Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death.",0,3
s248,Sweet Girl,2021-08-20,2021,110,"He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now.",0,4
s252,Like Crazy,2021-08-19,2011,91,A spirited exchange student and an American man fall in love in LA. But their romance faces an uphill battle when she is forced to return to England.,0,2
s254,Bombay,2021-08-18,1995,135,"Years after they elope against their family’s wishes, a couple and their sons become caught in the throes of conflict in their city.",0,1
s260,Pahuna,2021-08-18,2018,82,"Fleeing unrest in their native Nepal, three young siblings separated from their parents must beat the odds to survive on their own in India.",0,5
s265,Walk of Shame,2021-08-16,2014,94,"After a night of boozy carousing, a local newscaster finds herself stranded on the streets of LA just hours before the job interview of a lifetime.",0,4
s268,The Piano,2021-08-15,1993,121,"With her daughter and her beloved piano in tow, a mute Scottish woman arrives in New Zealand, where a gruff loner sets out to seduce her.",0,4
s271,Beckett,2021-08-13,2021,110,An American tourist goes on the run in Greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.,0,0
s274,Gone for Good,2021-08-13,2021,1,"Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel.",1,0
s277,Valeria,2021-08-13,2021,2,"A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent.",1,0
s279,Lokillo: Nothing's the Same,2021-08-12,2021,64,"Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail.",0,0
s280,Monster Hunter: Legends of the Guild,2021-08-12,2021,59,"In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon.",0,5
s282,Brother Jekwu,2021-08-11,2016,101,"Chasing wild success, a village hustler follows his cousin from Nigeria to Kenya and stumbles into the shady business affairs of a notorious overlord.",0,1
s283,La diosa del asfalto,2021-08-11,2020,127,"A woman from a tough neighborhood outside Mexico City comes home a rock star, inadvertently provoking a confrontation with the ghosts of her past.",0,0
s285,The Kissing Booth 3,2021-08-11,2021,114,"Determined to make the most of her final summer before college, Elle plans the ultimate bucket list as she navigates what comes next with Noah and Lee.",0,1
s286,The Railway Man,2021-08-11,2013,108,"Decades after World War II, a still-shattered soldier unexpectedly falls in love and sees a bizarre coincidence bring his past back into focus.",0,4
s293,Quartet,2021-08-08,2012,98,"To save their posh retirement home, former opera stars plan a gala recital — until the biggest diva among them refuses to sing.",0,2
s294,Slay,2021-08-08,2021,86,"In pursuit of both success and validation, a group of tech-savvy individuals juggle intimate encounters, first impressions and romantic opportunities.",0,0
s296,The Paper Tigers,2021-08-07,2021,111,"After reuniting as middle-aged men, three kung-fu prodigies must set their differences aside and dust off their skills to avenge their beloved mentor.",0,2
s298,Navarasa,2021-08-06,2021,1,"From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series.",1,0
s299,Quam's Money,2021-08-06,2020,115,"In this sequel to ""New Money,"" Quam, a security guard turned multimillionaire, lives the good life with his fortune until he falls victim to fraud.",0,0
s300,The Swarm,2021-08-06,2021,102,"A single mother breeds locusts as high-protein food, but has trouble getting them to reproduce — until she finds they have a taste for blood.",0,1
s301,Vivo,2021-08-06,2021,100,A music-loving kinkajou embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.,0,3
s302,Chennai Express,2021-08-05,2013,135,What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.,0,1
s304,Esperando la carroza,2021-08-05,1985,95,Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?,0,0
s305,Lady Boss: The Jackie Collins Story,2021-08-05,2021,97,"""Queen of Sleaze"" or feminist pioneer? Powerhouse novelist Jackie Collins created a brash sex-positive persona while hiding her private struggles.",0,1
s306,Tango Feroz,2021-08-05,1993,124,"One of the first rock stars in Argentina, Tango leads a full life during an era of social unrest – one of both glory and despair.",0,0
s307,'76,2021-08-04,2016,118,"When her husband is accused of taking part in an attempted military coup, a pregnant woman's life takes an emotional turn. Inspired by true events.",0,5
s308,Aftermath,2021-08-04,2021,115,"Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house's troubled history.",0,0
s309,American Masters: Inventing David Geffen,2021-08-04,2012,115,"The son of Jewish immigrants, David Geffen emerged from a humble upbringing to become one of the most powerful media personalities in America.",0,0
s315,Heavy,2021-08-03,1995,104,Overweight Victor hides from the world making pizzas in his mother's gloomy dive until a new waitress blows in and disrupts his isolation.,0,4
s316,Ije: The Journey,2021-08-03,2010,106,"When her sister is accused of multiple murders, a Nigerian woman travels to Los Angeles to uncover the truth and fight for her sibling’s freedom.",0,0
s317,Office Girls,2021-08-03,2011,1,"A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live.",1,1
s326,Beethoven,2021-08-01,1992,87,"A father reluctantly agrees to let his children keep a St. Bernard puppy, but the playful pooch soon turns into a full-grown engine of destruction.",0,3
s327,Beethoven's 2nd,2021-08-01,1993,88,"After St. Bernard Beethoven sires a brood with Missy, he and the Newton kids must intervene when Missy's owner tries to sell the puppies.",0,3
s328,Beowulf,2021-08-01,2007,114,This deftly animated take on a legendary Old English epic tells the timeless tale of a Scandinavian hero who's known for slaying dragons.,0,2
s329,Boyka: Undisputed,2021-08-01,2016,90,The fourth film in the action franchise finds Boyka taking on brutal gangsters to protect the widow of a man he unintentionally killed in the ring.,0,4
s330,Catch Me If You Can,2021-08-01,2002,142,"An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit.",0,2
s331,Cloudy with a Chance of Meatballs,2021-08-01,2009,90,"When inventor Flint Lockwood makes clouds rain food, the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow.",0,3
s333,Deep Blue Sea,2021-08-01,1999,105,Scientists conduct research on sharks in search of an Alzheimer's cure. But a dangerous shortcut leads to huge sharks with near-human intelligence.,0,4
s334,Ferris Bueller's Day Off,2021-08-01,1986,103,"After faking an illness to skip school, popular teen Ferris Bueller enjoys a fun-filled day in Chicago with his girlfriend and his uptight best friend.",0,2
s335,Five Feet Apart,2021-08-01,2019,116,A teen with cystic fibrosis shakes up her daily routine and challenges hospital protocol when she falls for a fellow patient.,0,2
s336,Freedomland,2021-08-01,2006,113,"When a woman reports that her infant son was kidnapped by a black man, an African American detective and a white activist team up to dig for details.",0,4
s338,Good Luck Chuck,2021-08-01,2007,99,"Every time Chuck breaks up with a girlfriend, she ends up engaged to her next boyfriend. Soon, women are dating Chuck in hopes of meeting Mr. Right.",0,4
s341,Inception,2021-08-01,2010,148,A troubled thief who extracts secrets from people's dreams takes one last job: leading a dangerous mission to plant an idea in a target's subconscious.,0,2
s342,Magnolia,2021-08-01,1999,189,"Through chance, history and divine intervention, a cast of eclectic characters weaves and warps through each other's lives on a random day in California.",0,4
s343,Major Payne,2021-08-01,1995,97,A hardened Marine is given his marching orders and must now lead a disorderly group of mismatched cadets into a junior ROTC competition.,0,2
s344,My Girl,2021-08-01,1991,102,This coming-of-age charmer follows a summer in the life of an 11-year-old girl who learns about love and loss as she grapples with profound changes.,0,2
s345,My Girl 2,2021-08-01,1994,99,A teen makes surprising discoveries when she talks to her dead mother's high school friends for an essay about someone she admires but has never met.,0,3
s346,Open Season: Scared Silly,2021-08-01,2015,85,"When a spooky werewolf tale scares Boog out of joining the annual camping trip, his friends hatch a plan to cure him of his fear.",0,3
s347,Pineapple Express,2021-08-01,2008,112,"After witnessing a murder, a perpetually stoned process server and his good-natured dealer go on the run from a drug lord who's out to kill them.",0,4
s348,Planet 51,2021-08-01,2009,91,"After landing on a planet reminiscent of 1950s suburbia, a human astronaut tries to avoid capture, recover his spaceship and make it home safely.",0,3
s349,Poms,2021-08-01,2019,91,"After moving to a retirement community, loner Martha befriends a fun-loving neighbor and forms a cheerleading club for young-at-heart seniors.",0,2
s350,Seabiscuit,2021-08-01,2003,141,An ungainly-looking colt becomes a winning thoroughbred in this Depression-era drama based on the true story of champion racehorse Seabiscuit.,0,2
s351,Space Cowboys,2021-08-01,2000,130,A retired engineer agrees to help NASA prevent a Russian satellite from falling to Earth if he and his over-the-hill pals can man the mission.,0,2
s352,Team America: World Police,2021-08-01,2004,98,"In this musical satire, an all-marionette police force takes on the challenging role of keeping the peace on a troubled planet.",0,4
s353,The Edge of Seventeen,2021-08-01,2016,105,A troubled teenager finds high school life even less bearable after she catches her childhood best friend hooking up with her popular older brother.,0,4
s354,The Haunting in Connecticut 2: Ghosts of Georgia,2021-08-01,2013,101,A couple's Georgia dream home becomes a living nightmare when their daughter begins to have frightening visions from the property's terrible past.,0,4
s355,The Last Boy Scout,2021-08-01,1991,105,Private eye Joe Hallenbeck is forced to team up with a disgraced quarterback to uncover a conspiracy by a politician and a football team owner.,0,4
s356,The Lincoln Lawyer,2021-08-01,2011,118,A street-wise defense lawyer who operates out of the back seat of his Lincoln lands a high-profile case that soon puts him and his family in danger.,0,4
s357,The Losers,2021-08-01,2010,97,"After a search-and-destroy mission leads to betrayal, an elite black ops squad seeks revenge. But they must remain deep undercover to even the score.",0,2
s358,The Machinist,2021-08-01,2004,102,"Haunted and gaunt after a prolonged bout of insomnia, factory worker Trevor Reznik begins to question his sanity amid a series of mysterious events.",0,4
s359,The Net,2021-08-01,1995,114,"A computer analyst becomes a target after she stumbles onto a conspiracy via a mysterious floppy disk, forcing her to go on the run to clear her name.",0,2
s360,The Original Kings of Comedy,2021-08-01,2000,111,"Comedians Steve Harvey, Cedric the Entertainer, D.L. Hughley and Bernie Mac hit the stage in an iconic stand-up concert directed by Spike Lee.",0,4
s361,Valentine's Day,2021-08-01,2010,125,The tripwires of modern love are exposed in a carousel involving relationships and the single life on the most romantic day of the year: February 14.,0,2
